time,latitude,longitude,altitude
2016:05:29 13:55:10,49.82838055555556,-97.108925,239.4975845410628
2015:02:01 16:11:25,49.797355555555555,-97.14056388888889,229.47979797979798
2018:02:01 09:09:03,49.811838888888886,-97.13810833333334,236.69957081545064
2014:05:30 21:21:27,35.94549166666666,104.15127500000001,1752.3223684210527
2013:08:17 14:27:35,51.14666666666667,-115.56233333333333,1760.0
2013:08:17 14:27:46,51.1465,-115.56333333333333,1774.0
2013:08:17 14:29:19,51.146,-115.5665,1902.0
2013:08:18 09:39:18,51.41683333333334,-116.225,1749.0
2013:08:18 13:21:47,51.440333333333335,-116.54016666666666,1310.0
2013:08:18 14:04:10,51.44766666666666,-116.52733333333333,1297.0
2013:08:22 19:15:27,49.89952777777778,-97.1316611111111,237.48765432098764
2013:08:22 21:35:03,49.90364722222222,-97.10749722222222,242.0
2013:08:23 21:18:07,49.809866666666665,-97.13435277777778,237.00079365079364
2013:08:26 21:02:52,49.81146666666666,-97.1301111111111,241.0
2013:08:04 10:47:57,49.811425,-97.13170555555556,232.73023255813953
2013:08:04 14:46:01,49.87023611111111,-97.24143333333333,246.0
2013:08:04 14:46:23,49.870269444444446,-97.24151666666667,244.0
2013:08:05 13:09:43,50.63346388888889,-96.98385555555555,225.0
2013:08:03 08:27:58,49.81033333333333,-97.13516666666666,243.59195402298852
2013:08:03 08:29:39,49.81033333333333,-97.13516666666666,243.1630094043887
2013:08:03 08:29:45,49.81033333333333,-97.13533333333334,242.99728260869566
2013:08:03 11:02:20,49.81033333333333,-97.13633333333334,241.40506329113924
2013:08:03 11:06:23,49.81066666666667,-97.13583333333334,242.5037037037037
2013:08:03 11:06:32,49.810833333333335,-97.13583333333334,242.50694444444446
2013:08:03 11:06:41,49.810833333333335,-97.13583333333334,242.40481927710843
2013:08:03 11:06:45,49.810833333333335,-97.13583333333334,242.40481927710843
2013:08:03 11:06:50,49.810833333333335,-97.13683333333333,241.5243243243243
2013:08:03 11:07:00,49.811,-97.136,253.1497797356828
2013:08:03 11:07:04,49.81066666666667,-97.13583333333334,246.69907407407408
2013:08:03 11:07:30,49.81066666666667,-97.13583333333334,244.13949579831933
2013:08:03 11:16:39,49.810833333333335,-97.136,241.68627450980392
2013:08:03 11:16:45,49.810833333333335,-97.136,241.68627450980392
2013:08:03 11:17:15,49.810833333333335,-97.136,241.304
2013:08:03 11:17:19,49.810833333333335,-97.136,241.304
2013:08:03 11:17:45,49.810833333333335,-97.136,241.47053490480508
2013:08:03 11:17:56,49.810833333333335,-97.136,241.63571428571427
2013:08:03 11:17:59,49.810833333333335,-97.136,241.63571428571427
2013:08:03 12:14:07,49.809333333333335,-97.13466666666666,237.00145137880986
2013:08:03 12:20:18,49.80916666666667,-97.13466666666666,237.00006103515625
2013:08:03 12:20:22,49.80916666666667,-97.13466666666666,237.00006103515625
2013:08:03 12:20:27,49.80916666666667,-97.13466666666666,237.00006103515625
2013:08:03 12:20:32,49.80916666666667,-97.13466666666666,237.00006103515625
2013:08:03 12:23:37,49.809,-97.13466666666666,237.0
2013:08:03 12:43:33,49.80916666666667,-97.13466666666666,237.0
2013:08:03 12:43:58,49.80916666666667,-97.13466666666666,237.0
2013:08:03 12:45:31,49.80916666666667,-97.13466666666666,237.0
2013:08:03 12:47:12,49.80916666666667,-97.13466666666666,237.0
2013:08:03 12:51:47,49.80866666666667,-97.1345,237.0
2013:08:03 12:51:50,49.80866666666667,-97.1345,237.0
2013:08:03 12:51:59,49.80883333333333,-97.1345,237.0
2013:08:03 12:52:48,49.80866666666667,-97.13383333333333,237.0
2013:08:03 12:52:59,49.80866666666667,-97.13383333333333,237.0
2013:08:03 12:53:04,49.80866666666667,-97.13383333333333,237.0
2013:08:03 12:53:57,49.80866666666667,-97.1335,237.0
2013:08:03 12:54:07,49.80866666666667,-97.1335,237.0
2013:08:03 12:54:37,49.8085,-97.1335,237.0
2013:08:03 12:54:54,49.80866666666667,-97.13366666666667,237.0
2013:08:03 12:55:12,49.80866666666667,-97.13366666666667,237.0
2013:08:03 12:55:20,49.80866666666667,-97.1335,237.0
2013:08:03 12:55:41,49.80866666666667,-97.13333333333334,237.0
2013:08:03 12:55:52,49.80866666666667,-97.1335,237.0
2013:08:03 12:56:34,49.80883333333333,-97.132,237.0
2013:08:03 12:57:01,49.80883333333333,-97.13316666666667,244.12240184757505
2013:08:03 12:57:13,49.80883333333333,-97.13316666666667,232.40096618357487
