time,latitude,longitude,altitude
2020:09:26 15:17:11,49.00848007194445,-98.26624298083334,460.03
2020:09:26 15:16:56,49.00848007194445,-98.26624298083334,460.03
2020:09:26 15:16:45,49.00848007194445,-98.26624298083334,460.03
2020:09:26 15:16:39,49.00848007194445,-98.26624298083334,460.03
2020:09:26 15:00:21,49.01267242416667,-98.25999450666667,438.1
2020:09:26 14:44:52,49.18704986555555,-98.3830795286111,0.0
2020:09:26 14:44:43,49.18704986555555,-98.3830795286111,0.0
2020:09:26 14:43:26,49.01345825194444,-98.2591018675,441.86
2020:09:26 14:39:57,49.01348114,-98.25933074944444,466.04
2020:09:26 14:39:38,49.01348114,-98.25933074944444,466.04
2020:09:26 14:20:42,49.01942825305555,-98.26006317111111,346.39
2020:09:26 13:52:22,49.022491455,-98.26084136944445,311.53
2020:09:26 13:52:11,49.022491455,-98.26084136944445,311.53
2020:09:26 13:44:13,49.01960754388889,-98.25918579083333,296.02
2020:09:26 13:25:05,49.019584655555555,-98.26591491694444,332.44
2020:09:26 13:25:05,49.019584655555555,-98.26591491694444,332.44
2020:09:26 13:24:59,49.019584655555555,-98.26591491694444,332.44
2020:09:26 12:51:07,49.0095443725,-98.26892089833333,387.91
2020:09:26 12:50:54,49.0095443725,-98.26892089833333,387.91
2020:09:26 12:50:54,49.0095443725,-98.26892089833333,387.91
2020:09:26 12:48:15,49.00905990583333,-98.269844055,407.9
2020:09:26 12:41:53,49.00968551611111,-98.27256011944445,420.58
2020:09:26 12:41:23,49.00968551611111,-98.27256011944445,420.58
2020:09:26 12:41:19,49.00968551611111,-98.27256011944445,420.58
2020:09:26 12:31:08,49.00958633416667,-98.27200317361111,409.07
2020:09:26 14:35:00,49.013439178333336,-98.25907897944444,445.6
2020:10:11 19:01:56,50.65137481666667,-99.96453094472223,0.0
2020:10:11 13:39:50,50.857930555555555,-100.02983055555555,660.9808734459675
2020:10:11 13:39:53,50.857997222222224,-100.02977777777778,660.9731524249422
2020:10:11 13:02:33,50.914817809999995,-100.05165100083333,0.0
2020:10:11 12:57:38,50.914817809999995,-100.05165100083333,0.0
2020:10:11 11:54:50,51.135410308611114,-100.0600585936111,0.0
2020:09:08 17:36:40,49.526313781666666,-96.5832901,257.01
2020:09:08 17:37:52,49.526454925277775,-96.58320617666666,259.23
2020:09:08 17:38:07,49.526454925277775,-96.58320617666666,259.23
2020:09:08 17:37:40,49.526454925277775,-96.58320617666666,259.23
2020:09:08 17:37:23,49.526454925277775,-96.58320617666666,259.23
2020:09:08 17:37:34,49.526454925277775,-96.58320617666666,259.23
2020:09:08 17:38:11,49.52629470805555,-96.58330535861111,243.86
2020:10:10 15:19:28,50.65122985833333,-99.96620941138889,0.0
2022:04:05 21:51:32,45.46177673333334,-73.88909912083334,2.8
2022:04:05 21:51:52,45.46180343611111,-73.88900756833334,9.79
2020:01:26 09:47:48,49.79688611111111,-97.16406944444445,238.2302857142857
2020:01:26 09:47:48,49.79688611111111,-97.16406944444445,238.2302857142857
2020:01:26 09:47:55,49.79688611111111,-97.1641,234.59350571256766
2020:01:26 09:47:59,49.79688611111111,-97.16412222222223,235.16412355787122
2020:01:26 09:47:59,49.79688888888889,-97.16412222222223,236.22521957340024
2020:01:26 09:48:06,49.796863888888886,-97.16410833333335,233.80419921875
2020:02:29 16:20:59,49.88355277777778,-97.19721944444444,233.86259459459458
2020:02:29 16:21:07,49.883652777777776,-97.19725,234.12049861495845
2020:02:29 16:21:08,49.883652777777776,-97.19725,234.12049861495845
2020:02:15 14:52:51,49.88719444444445,-97.13056944444443,236.7490234375
2020:02:15 14:52:55,49.88719444444445,-97.13056944444443,237.2001953125
2023:04:30 11:11:38,40.781052777777774,-73.97431944444445,3.8715801228364044
2023:04:30 11:11:59,40.781052777777774,-73.97431944444445,3.8715801228364044
2023:04:30 11:29:18,40.78047222222222,-73.97267222222223,3.8715801228364044
2023:04:30 11:29:42,40.78047222222222,-73.97267222222223,3.8715801228364044
2023:04:30 11:29:51,40.78047222222222,-73.97267222222223,3.8715801228364044
2023:04:30 11:29:55,40.78047222222222,-73.97267222222223,3.8715801228364044
2023:04:30 11:29:56,40.78047222222222,-73.97267222222223,3.8715801228364044
2023:04:30 11:34:34,40.78167222222222,-73.973525,3.8715801228364044
2023:04:30 11:34:56,40.78167222222222,-73.973525,3.8715801228364044
2023:04:30 11:35:12,40.78167222222222,-73.973525,3.8715801228364044
2023:04:30 11:35:26,40.78167222222222,-73.973525,3.8715801228364044
2023:04:30 11:35:45,40.78167222222222,-73.973525,3.8715801228364044
2023:04:30 11:35:54,40.78167222222222,-73.973525,3.8715801228364044
2023:04:30 11:36:05,40.78167222222222,-73.973525,3.8715801228364044
2023:04:30 11:36:25,40.78167222222222,-73.973525,3.8715801228364044
2023:04:30 11:36:49,40.78167222222222,-73.973525,3.8715801228364044
2023:04:30 11:37:01,40.78173888888889,-73.97365555555555,3.8715801228364044
2023:04:30 11:39:55,40.780525,-73.97496111111111,3.8715801228364044
2023:04:30 11:40:17,40.78098611111111,-73.97440277777778,3.8715801228364044
2023:04:30 11:40:37,40.78098611111111,-73.97440277777778,3.8715801228364044
