time,latitude,longitude,altitude
2023:04:30 13:17:19,40.78042222222222,-73.97386111111112,26.704885496183206
2023:04:30 13:19:43,40.78041111111111,-73.97386111111112,26.704885496183206
2023:04:30 12:53:55,40.780675,-73.97408333333334,26.704885496183206
2023:04:30 12:28:55,40.780544444444445,-73.97392222222223,26.704885496183206
2023:04:30 12:30:37,40.780544444444445,-73.97392222222223,26.704885496183206
2023:04:30 12:30:44,40.780544444444445,-73.97392222222223,26.704885496183206
2023:04:30 12:32:27,40.780544444444445,-73.97392222222223,26.704885496183206
2023:04:30 12:33:52,40.78053333333333,-73.97389166666667,26.704885496183206
2023:04:30 12:34:10,40.78053333333333,-73.97389166666667,26.704885496183206
2023:04:30 12:37:45,40.78053333333333,-73.97389166666667,26.704885496183206
2023:04:30 12:31:33,40.780544444444445,-73.97392222222223,26.704885496183206
2023:04:30 12:40:19,40.78055277777778,-73.97386111111112,26.704885496183206
2023:04:30 12:53:05,40.780675,-73.97408333333334,26.704885496183206
2023:04:30 12:53:19,40.780675,-73.97408333333334,26.704885496183206
2023:04:30 13:14:47,40.78042222222222,-73.97386111111112,26.704885496183206
2023:04:30 12:54:07,40.780675,-73.97408333333334,26.704885496183206
2023:04:30 12:55:15,40.780675,-73.97408333333334,26.704885496183206
2023:04:30 12:34:44,40.78053333333333,-73.97389166666667,26.704885496183206
2023:04:30 12:31:50,40.780544444444445,-73.97392222222223,26.704885496183206
2023:04:30 12:35:51,40.78053333333333,-73.97389166666667,26.704885496183206
2020:07:07 20:21:51,49.796708333333335,-97.16387222222222,237.87902825979177
2020:07:14 20:59:44,49.83062777777778,-97.1389,227.42987075155577
2020:07:14 20:59:51,49.83060833333334,-97.13881666666667,226.63806158505804
2020:07:09 11:26:53,50.06586111111111,-96.97011666666667,234.60995085995086
2020:07:07 20:21:36,49.79673333333333,-97.16390277777778,240.22326674500587
2020:07:07 20:21:53,49.796708333333335,-97.16387222222222,237.87341299477222
2020:07:07 20:23:16,49.796724999999995,-97.16390277777778,238.19189453125
2020:07:11 13:17:07,50.111558333333335,-96.93180000000001,232.18762214983713
2020:07:09 11:14:12,50.06574722222222,-96.97089444444444,231.44137191854233
2020:07:09 11:15:04,50.065441666666665,-96.97079444444445,225.445400397088
2020:07:09 11:28:53,50.06593055555555,-96.96987777777778,233.3219871205152
2020:07:09 10:19:41,49.7968,-97.16400277777778,234.99935897435898
2020:07:09 11:14:10,50.06574722222222,-96.97091666666667,230.58590308370043
2020:07:09 11:28:37,50.06590277777777,-96.96988611111111,234.0844382414515
2020:07:09 11:31:38,50.06574166666666,-96.96948333333333,232.99630359783146
2020:07:09 11:41:36,50.06664722222222,-96.97666944444444,232.1944091486658
2020:07:09 11:51:33,50.06599722222222,-96.97852222222222,235.4088401799971
2020:07:09 11:51:58,50.065891666666666,-96.9783861111111,236.80337143516914
2020:07:09 11:57:47,50.06605555555555,-96.97853888888889,231.09505846850246
2020:07:09 12:57:05,50.08453055555556,-96.93744722222223,227.77932351336608
2020:07:09 11:59:40,50.06621666666666,-96.97833888888889,229.4585847504114
2020:07:09 13:02:10,50.08532777777778,-96.93753055555555,225.92812715964064
2020:07:11 13:17:14,50.11151944444445,-96.93176944444446,235.5457620374055
2020:07:14 21:04:54,49.82675833333334,-97.144975,236.81744383613366
2020:07:26 17:56:55,49.79689722222222,-97.16424444444445,234.54319761668322
2020:07:26 17:57:13,49.796791666666664,-97.16401666666667,239.74682598954445
2020:07:26 17:57:07,49.79678611111111,-97.16400277777778,240.95672624647224
2020:07:31 19:38:40,49.8895,-97.12258888888888,235.73883048620237
2020:08:02 14:33:18,50.15813055555555,-95.88876388888889,273.4598655595097
2020:08:02 14:33:45,50.15799444444444,-95.88896111111112,271.1171531387445
2020:08:02 14:33:48,50.15798888888889,-95.88896944444446,270.8355428161949
2020:08:02 14:33:50,50.15798611111111,-95.88897777777778,270.69011976047904
2020:07:09 11:29:05,50.06590277777777,-96.96991666666666,234.51705565529622
2020:08:02 14:34:00,50.157980555555554,-95.88900000000001,271.5539125077018
2023:04:30 13:14:05,40.78037777777778,-73.97383888888889,26.704885496183206
2020:08:02 14:34:14,50.157975,-95.88903055555556,271.7237140084115
2020:08:02 14:37:16,50.15778611111111,-95.88946666666668,272.237636480411
2020:08:02 14:37:19,50.15778611111111,-95.88947222222222,272.7101710171017
2020:04:28 17:30:58,49.797130555555555,-97.12215555555555,226.00671391271914
2020:04:28 17:09:23,49.79095833333333,-97.14637777777779,228.4341432225064
2020:04:28 17:26:15,49.79687222222222,-97.12043055555554,231.57867435158502
2020:04:28 17:31:03,49.79716111111111,-97.1221611111111,227.9033203125
2020:04:28 17:31:03,49.79716111111111,-97.1221611111111,227.9033203125
2020:04:28 17:38:36,49.79885,-97.12296388888888,227.47351077313056
2020:04:30 20:11:16,49.830125,-97.13783333333333,210.67443844185385
2020:05:01 20:48:19,49.76708333333333,-97.15140555555556,232.08453350031309
2020:05:01 20:49:23,49.750275,-97.13418611111112,236.52673350041772
2020:05:01 20:49:25,49.750275,-97.13418611111112,239.0093994778068
2023:04:30 12:52:56,40.780675,-73.97408333333334,26.704885496183206
2020:05:03 11:00:46,49.79680555555555,-97.16402500000001,233.49197396963123
2020:05:16 15:43:57,49.68523888888888,-95.32304444444443,332.54537597234224
2020:05:16 15:44:07,49.68525277777778,-95.32304444444443,330.7825581395349
2020:05:16 21:01:55,49.69215833333333,-95.31539166666667,334.1838034576888
2023:04:30 12:33:33,40.78053333333333,-73.97389166666667,26.704885496183206
2020:05:17 09:59:03,49.741597222222225,-95.17660555555555,313.00887688151295
2020:08:02 14:33:19,50.15813055555555,-95.88881666666667,273.5496481626271
2020:05:17 10:01:16,49.74178055555556,-95.17598611111111,346.32308584686774
2020:05:17 10:01:15,49.74178055555556,-95.17598611111111,346.32308584686774
2020:05:17 10:01:29,49.741794444444444,-95.17595,345.8532374100719
2020:05:17 10:02:23,49.741683333333334,-95.17572777777778,344.2321472392638
2020:05:17 10:11:36,49.74324722222222,-95.172425,340.19820769636266
2020:07:14 21:05:10,49.82675833333334,-97.144975,235.66815187911664
2020:07:09 12:59:36,50.08490833333334,-96.93736944444444,227.04328132863614
2020:05:17 13:49:47,49.808074999999995,-95.21556944444444,316.47689463955635
2020:05:17 13:49:52,49.808074999999995,-95.21556944444444,321.5011862396204
2020:05:18 09:49:31,49.7373,-95.20494722222223,335.46832298136644
2023:04:30 13:19:34,40.78041111111111,-73.97386111111112,26.704885496183206
2020:05:18 09:58:12,49.747147222222225,-95.21026666666667,369.9864158829676
2020:05:18 11:22:26,49.771430555555554,-96.81651388888889,242.2275009656238
2020:05:18 11:22:37,49.77143888888889,-96.81649722222222,242.61598951507207
2023:04:30 12:42:12,40.78058611111111,-73.97241111111111,26.704885496183206
2023:04:30 13:14:39,40.78042222222222,-73.97386111111112,26.704885496183206
2020:05:21 18:34:52,49.79664722222222,-97.16384166666667,238.67028788701793
2020:05:24 20:09:48,49.79698888888889,-97.16423888888889,233.73820483314154
2020:06:20 22:40:11,49.79688888888889,-97.16409166666668,243.23486328125
2020:06:09 14:32:52,49.78766944444444,-97.11824722222221,234.1002197802198
2023:04:30 12:29:30,40.780544444444445,-73.97392222222223,26.704885496183206
2020:06:08 11:54:17,49.79665833333333,-97.16403333333334,234.09162895927602
2020:06:16 14:20:27,49.79680555555555,-97.16405555555556,231.77020268491708
2019:10:26 13:14:51,48.998980555555555,-100.06360555555555,692.9491173416407
2019:10:26 13:14:30,48.998916666666666,-100.06353055555556,694.0752831445703
2020:05:16 21:01:56,49.69216944444444,-95.31539166666667,333.14443567482243
2019:10:27 13:46:18,49.89718888888889,-97.05161388888888,234.30056767254257
2019:10:31 14:50:33,49.810525,-97.13485,236.09765625
2019:10:31 14:51:10,49.810516666666665,-97.13477222222222,234.20855714021116
2019:11:11 14:16:52,49.88751666666666,-97.14991666666667,233.2194214876033
2020:08:02 14:36:50,50.15790555555555,-95.88931388888889,269.45772946859904
2020:07:18 21:04:03,49.79673888888889,-97.16398611111111,241.8751830161054
2020:07:09 11:28:36,50.06590277777777,-96.96988611111111,234.0844382414515
2019:09:29 14:31:31,49.55104166666666,-96.68600555555555,256.9439964157706
2019:09:29 14:31:27,49.551047222222216,-96.68602777777778,258.6698875614898
2019:10:26 13:52:50,48.999322222222226,-100.0698,698.4439359267734
2019:10:26 13:39:09,48.98598611111111,-100.06410277777778,691.9204980842912
2023:11:23 12:31:36,45.46381388888889,-73.61730833333333,57.56723787394714
2023:11:25 17:58:11,45.478611111111114,-73.66035555555555,51.68738170347003
2023:11:25 16:42:37,45.47865277777778,-73.66020277777778,53.16730190571715
2023:11:25 16:42:39,45.47867222222222,-73.66021666666667,51.85771128441827
2019:09:29 14:28:04,49.551094444444445,-96.6861638888889,259.67538063774776
2019:09:29 14:38:37,49.55043055555555,-96.68503611111112,254.91070547607302
2019:09:29 14:43:46,49.551513888888884,-96.68412777777777,258.52700421940926
2019:10:26 13:53:01,48.99926666666667,-100.06986944444444,698.8764302059496
2023:11:25 13:17:39,45.478611111111114,-73.66035555555555,51.82056043214045
2019:09:29 14:21:07,49.55191111111111,-96.687675,254.14733893557423
2019:09:29 14:12:12,49.552280555555555,-96.68780555555556,254.77923581628716
2023:11:25 16:42:40,45.47870277777778,-73.66021666666667,51.51562993369119
2019:09:29 14:10:12,49.55227222222222,-96.68780555555556,254.75311292400173
2019:09:29 14:23:52,49.55105555555555,-96.6861638888889,259.52572233967584
2019:10:26 13:27:30,48.99429722222222,-100.07251111111111,690.3155172413793
2023:11:25 16:36:22,45.478611111111114,-73.66035555555555,51.79645916619075
2023:11:25 16:41:28,45.478611111111114,-73.66035555555555,51.813869491933545
2023:11:25 16:42:11,45.47876111111111,-73.66036944444446,51.72189946956302
2023:11:25 16:42:15,45.4787,-73.66031666666667,51.56117740652347
2023:11:25 16:41:41,45.478611111111114,-73.66035555555555,51.8138427734375
2023:11:25 17:51:43,45.478611111111114,-73.66035555555555,51.68737788198515
2019:11:26 19:44:08,49.80873611111111,-97.13415555555557,234.83818046234154
2019:11:26 19:53:05,49.80871111111111,-97.13418611111112,235.0381315538608
2019:11:25 08:52:07,49.79688888888889,-97.16412222222223,233.4479217603912
2020:07:07 20:20:42,49.79671388888889,-97.16388611111111,237.9639282341832
2020:03:28 12:35:06,49.796863888888886,-97.16397777777779,232.49719244512505
2020:05:24 20:09:54,49.79694722222222,-97.16415277777779,234.09140027014857
2023:11:25 17:52:13,45.478611111111114,-73.66035555555555,51.99878308487983
2020:03:28 12:35:00,49.79683611111111,-97.16404722222222,233.116455078125
2020:03:28 12:35:03,49.796825,-97.16403333333334,235.7108155002892
2019:12:07 14:05:06,49.810566666666666,-97.13525277777778,239.2978515625
2019:12:10 18:10:13,49.808680555555554,-97.13426111111112,233.4121706398996
2020:04:07 20:22:09,49.765575,-97.142525,243.8008423586041
2020:04:04 12:31:43,49.79688611111111,-97.16397777777779,233.7039947609692
2023:04:30 13:22:50,40.78050277777778,-73.97388333333333,26.704885496183206
2020:07:11 13:17:21,50.11151944444445,-96.93176944444446,235.9266990291262
2023:04:30 13:15:09,40.78042222222222,-73.97386111111112,26.704885496183206
2023:04:30 12:29:39,40.780544444444445,-73.97392222222223,26.704885496183206
2023:04:30 12:42:09,40.78058611111111,-73.97241111111111,26.704885496183206
2020:05:17 13:49:50,49.808074999999995,-95.21556944444444,320.8000144969556
2020:04:07 15:39:32,49.755066666666664,-97.14398055555556,228.98138424821002
2023:04:30 12:32:57,40.780544444444445,-73.97392222222223,26.704885496183206
2023:04:30 12:36:30,40.78053333333333,-73.97389166666667,26.704885496183206
2023:04:30 12:37:40,40.78053333333333,-73.97389166666667,26.704885496183206
2023:04:30 12:36:22,40.78053333333333,-73.97389166666667,26.704885496183206
2020:04:07 15:42:51,49.7553,-97.14239444444445,235.3905027932961
2020:04:07 15:43:30,49.75545833333333,-97.14233333333334,226.10174563591022
2020:04:07 15:43:39,49.755494444444444,-97.14215833333334,231.7109375
2020:04:07 15:45:22,49.756,-97.1413888888889,231.229248046875
2020:04:07 15:45:09,49.75604166666667,-97.14144166666668,230.52868632707774
2020:04:07 15:45:40,49.75601944444445,-97.1413888888889,231.16662594673832
2020:05:17 10:11:40,49.74324444444444,-95.172425,341.02401372212694
2020:04:28 17:30:52,49.793419444444446,-97.13894722222223,230.95642068564788
2020:04:07 20:06:02,49.75093888888889,-97.13306388888888,250.16064453125
2019:09:29 14:09:48,49.55228888888889,-96.6878138888889,254.81349206349208
2023:11:25 16:42:34,45.47875277777778,-73.66040000000001,51.136328125
2020:07:14 20:59:46,49.83060833333334,-97.1388388888889,228.21344
2020:07:07 20:21:53,49.796708333333335,-97.16387222222222,237.87341299477222
